Taxa	PHT
CUFL-127	9
CUFL-128	8
CUFL-129	12
CUFL-013	14
CUFL-130	10
CUFL-131	6
CUFL-132	10.5
CUFL-133	10.5
CUFL-134	11.5
CUFL-136	11
CUFL-137	10
CUFL-138	15
CUFL-139	12.5
CUFL-014	7.5
CUFL-140	11.5
CUFL-142	16
CUFL-143	13.5
CUFL-144	10
CUFL-145	15
CUFL-146	20.5
CUFL-147	13
CUFL-148	11
CUFL-149	9
CUFL-015	6.5
CUFL-150	16
CUFL-151	10.5
CUFL-152	14
CUFL-153	16.5
CUFL-155	13.5
CUFL-156	11
CUFL-157	11
CUFL-158	13.5
CUFL-159	6
CUFL-016	11.5
CUFL-160	13
CUFL-161	10.5
CUFL-162	16
CUFL-164	5
CUFL-165	11.5
CUFL-166	15.5
CUFL-167	14.5
CUFL-168	8
CUFL-169	12
CUFL-017	15
CUFL-171	17
CUFL-172	9.5
CUFL-173	14.5
CUFL-175	12.5
CUFL-177	14.5
CUFL-018	6.5
CUFL-180	14.5
CUFL-181	15.5
CUFL-182	10
CUFL-183	12.5
CUFL-185	1.40E+01
CUFL-188	16
CUFL-019	14
CUFL-020	11.5
CUFL-021	13.5
CUFL-022	11.5
CUFL-023	12.5
CUFL-024	15.5
CUFL-025	18.5
CUFL-026	15.5
CUFL-027	15
CUFL-028	15
CUFL-029	10.5
CUFL-030	10
CUFL-031	13.5
CUFL-032	13
CUFL-033	8
CUFL-034	15
CUFL-035	8
CUFL-036	13.5
CUFL-037	11.5
CUFL-038	8
CUFL-039	13
CUFL-004	12.5
CUFL-040	13.5
CUFL-041	7
CUFL-042	15.5
CUFL-043	10
CUFL-044	15.5
CUFL-045	11.5
CUFL-046	16
CUFL-047	15.5
CUFL-048	14.5
CUFL-049	15
CUFL-005	13.5
CUFL-050	16
CUFL-051	13.5
CUFL-052	12.5
CUFL-053	8.5
CUFL-054	15.5
CUFL-055	9
CUFL-056	10.5
CUFL-057	15
CUFL-058	12.5
CUFL-059	15
CUFL-006	12.5
CUFL-060	6
CUFL-061	11
CUFL-062	10
CUFL-063	8
CUFL-064	11
CUFL-065	10.5
CUFL-066	10
CUFL-067	13
CUFL-068	2.5
CUFL-007	10.5
CUFL-070	5
CUFL-071	13.5
CUFL-072	13
CUFL-073	16
CUFL-074	14
CUFL-075	13
CUFL-076	11.5
CUFL-077	13.5
CUFL-078	10.5
CUFL-079	15.5
CUFL-080	11.5
CUFL-081	14.5
CUFL-082	13.5
CUFL-083	13
CUFL-084	13.5
CUFL-085	14.5
CUFL-086	10
CUFL-087	12.5
CUFL-088	10.5
CUFL-009	16
CUFL-091	12
CUFL-094	9.5
CUFL-096	13.5
CUFL-098	15.5
CUFL-099	16.5
